"atc","parent","sv","en"
"A01AC","A01A","Kortikosteroider för lokal behandling i munhålan","Corticosteroids for local oral treatment"
"A01AC01","A01AC","Triamcinolon","Triamcinolone"
"A01AC02","A01AC","Dexametason","Dexamethasone"
"A01AC03","A01AC","Hydrokortison","Hydrocortisone"
"A01AC04","A01AC","Prednisolon","Prednisolone"
"A01AC54","A01AC","Prednisolon, kombinationer","Prednisolone, combinations"
"A01AD","A01A","Övriga medel för lokal behandling i munhålan","Other agents for local oral treatment"
"A01AD01","A01AD","Adrenalin","Adrenaline"
"A01AD02","A01AD","Bensydamin","Benzydamine"
"A01AD05","A01AD","Acetylsalicylsyra","Acetylsalicylic acid"
"A01AD06","A01AD","Adrenon","Adrenalone"
"A01AD07","A01AD","Amlexanox","Amlexanox"
"A01AD08","A01AD","Bekaplermin","Becaplermin"
"A01AD11","A01AD","Övrigt","Various"
"A02","A","Medel vid syrarelaterade symtom","Drugs for acid related disorders"
"A02A","A02","Antacida","Antacids"
"A02AA","A02A","Magnesiumföreningar","Magnesium compounds"
"A02AA01","A02AA","Magnesiumkarbonat","Magnesium carbonate"
"A02AA02","A02AA","Magnesiumoxid","Magnesium oxide"
"A02AA03","A02AA","Magnesiumperoxid","Magnesium peroxide"
"A02AA04","A02AA","Magnesiumhydroxid","Magnesium hydroxide"
"A02AA05","A02AA","Magnesiumsilikat","Magnesium silicate"
"A02AA10","A02AA","Kombinationer","Combinations"
"A02AB","A02A","Aluminiumföreningar","Aluminium compounds"
"A02AB01","A02AB","Aluminiumhydroxid","Aluminium hydroxide"
"A02AB02","A02AB","Algeldrat","Algeldrate"
"A02AB03","A02AB","Aluminiumfosfat","Aluminium phosphate"
"A02AB04","A02AB","Dihydroxialuminiumnatriumkarbonat","Dihydroxialumini sodium carbonate"
"A02AB05","A02AB","Aluminiumacetoacetat","Aluminium acetoacetate"
"A02AB06","A02AB","Aloglutamol","Aloglutamol"
"A02AB07","A02AB","Aluminium glycinat","Aluminium glycinate"
"A02AB10","A02AB","Kombinationer","Combinations"
"A02AC","A02A","Kalciumföreningar","Calcium compounds"
"A02AC01","A02AC","Kalciumkarbonat","Calcium carbonate"
"A02AC02","A02AC","Kalciumsilikat","Calcium silicate"
"A02AC10","A02AC","Kombinationer","Combinations"
"A02AD","A02A","Kombinationer och komplex av aluminium-, kalcium- och magnesiumföreningar","Combinations and complexes of aluminium, calcium and magnesium compounds"
"A02AD01","A02AD","Aluminium-, kalcium- och magnesiumsalter","Ordinary salt combinations"
"A02AD02","A02AD","Magaldrat","Magaldrate"
"A02AD03","A02AD","Almagat","Almagate"
"A02AD04","A02AD","Hydrotalcit","Hydrotalcite"
"A02AD05","A02AD","Almasilat","ALMASILATE"
"A02AF","A02A","Antacida och medel mot meteorism","Antacids with antiflatulents"
"A02AF01","A02AF","Magaldrat och medel mot meteorism","Magaldrate and antiflatulents"
"A02AF02","A02AF","Aluminium-, kalcium- och magnesiumsalter samt medel mot meteorism","Ordinary salt combinations and antiflatulents"
"A02AG","A02A","Antacida och spasmolytika","Antacids with antispasmodics"
"A02AH","A02A","Antacida med natriumvätekarbonat","Antacids with sodium bicarbonate"
"A02AX","A02A","Antacida, övriga kombinationer","Antacids, other combinations"
"A02B","A02","Medel vid magsår och gastroesofageal refluxsjukdom","Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)"
"A02BA","A02B","Histamin-2-receptorantagonister","H2-receptor antagonists"
"A02BA01","A02BA","Cimetidin","Cimetidine"
"A02BA02","A02BA","Ranitidin","Ranitidine"
"A02BA03","A02BA","Famotidin","Famotidine"
"A02BA04","A02BA","Nizatidin","Nizatidine"
"A02BA05","A02BA","Niperotidin","Niperotidine"
"A02BA06","A02BA","Roxatidin","Roxatidine"
"A02BA07","A02BA","Ranitidinvismutcitrat","Ranitidine bismuth citrate"
"A02BA08","A02BA","Lafutidin","Lafutidine"
"A02BA51","A02BA","Cimetidin, kombinationer","Cimetidine, combinations"
"A02BA53","A02BA","Famotidin, kombinationer","Famotidine, combinations"
"A02BB","A02B","Prostaglandiner","Prostaglandins"
"A02BB01","A02BB","Misoprostol","Misoprostol"
"A02BB02","A02BB","Enprostil","Enprostil"
"A02BC","A02B","Protonpumpshämmare","Proton pump inhibitors"
"A02BC01","A02BC","Omeprazol","Omeprazole"
"A02BC02","A02BC","Pantoprazol","Pantoprazole"
"A02BC03","A02BC","Lansoprazol","Lansoprazole"
"A02BC04","A02BC","Rabeprazol","Rabeprazole"
"A02BC05","A02BC","Esomeprazol","Esomeprazole"
"A02BC06","A02BC","Dexlansoprazol","Dexlansoprazole"
"A02BC07","A02BC","Dexrabeprazol","Dexrabeprazole"
"A02BC08","A02BC","Vonoprazan","Vonoprazan"
"A02BC09","A02BC","Tegoprazan","Tegoprazan"
"A02BC10","A02BC","Fexuprazan","Fexuprazan"
"A02BC11","A02BC","Ilaprazol","Ilaprazole"
"A02BC51","A02BC","Omeprazol, kombinationer","Omeprazole, combinations"
"A02BC53","A02BC","Lansoprazol, kombinationer","Lansoprazole, combinations"
"A02BC54","A02BC","Rabeprazol, kombinationer","Rabeprazole, combinations"
"A02BD","A02B","Kombinationer för eradikering av Helicobacter pylori","Combinations for eradication of Helicobacter pylori"
"A02BD01","A02BD","Omeprazol, amoxicillin och metronidazol","Omeprazole, amoxicillin and metronidazole"
"A02BD02","A02BD","Lansoprazol, tetracyklin och metronidazol","Lansoprazole, tetracycline and metronidazole"
"A02BD03","A02BD","Lansoprazol, amoxicillin och metronidazol","Lansoprazole, amoxicillin and metronidazole"
"A02BD04","A02BD","Pantoprazol, amoxicillin och klaritromycin","Pantoprazole, amoxicillin and clarithromycin"
"A02BD05","A02BD","Omeprazol, amoxicillin och klaritromycin","Omeprazole, amoxicillin and clarithromycin"
"A02BD06","A02BD","Esomeprazol, amoxicillin och klaritromycin","Esomeprazole, amoxicillin and clarithromycin"
"A02BD07","A02BD","Lansoprazol, amoxicillin och klaritromycin","Lansoprazole, amoxicillin and clarithromycin"
"A02BD08","A02BD","Vismutsubcitrat, tetracyklin och metronidazol","Bismuth subcitrate, tetracycline and metronidazole"
"A02BD09","A02BD","Lansoprazol, klaritromycin och tinidazol","Lansoprazole, clarithromycin and tinidazole"
"A02BD10","A02BD","Lansoprazol, amoxicillin och levofloxacin","Lansoprazole, amoxicillin and levofloxacin"
"A02BD11","A02BD","Pantoprazol, amoxicillin, klaritromycin och metronidazol","Pantoprazole, amoxicillin, clarithromycin and metronidazole"
"A02BD12","A02BD","Rabeprazol, amoxicillin och klaritromycin","Rabeprazole, amoxicillin and clarithromycin"
"A02BD13","A02BD","Rabeprazol, amoxicillin och metronidazol","Rabeprazole, amoxicillin and metronidazol"
"A02BD14","A02BD","Vonoprazan, amoxicillin och klaritromycin","Vonoprazan, amoxicillin and clarithromycin"
"A02BD15","A02BD","Vonoprazan, amoxicillin och metronidazol","Vonoprazan, amoxicillin and metronidazole"
"A02BD16","A02BD","Omeprazol, amoxicillin och rifabutin","Omeprazole, amoxicillin and rifabutin"
"A02BD17","A02BD","Vonoprazan och amoxicillin","Vonoprazan and amoxicillin"
"A02BX","A02B","Övriga medel vid magsår och gastroesofageal refluxsjukdom","Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)"
"A02BX01","A02BX","Karbenoxolon","Carbenoxolone"
"A02BX02","A02BX","Sukralfat","Sucralfate"
"A02BX03","A02BX","Pirenzepin","Pirenzepine"
"A02BX04","A02BX","Metiosulfonklorid","Methiosulfonium chloride"
"A02BX05","A02BX","Vismutsubcitrat","Bismuth subcitrate"
"A02BX06","A02BX","Proglumid","Proglumide"
"A02BX07","A02BX","Gefarnat","Gefarnate"
"A02BX08","A02BX","Sulglikotid","Sulglicotide"
"A02BX09","A02BX","Acetoxolon","Acetoxolone"
"A02BX10","A02BX","Zolimidin","Zolimidine"
"A02BX11","A02BX","Troxipid","Troxipide"
"A02BX12","A02BX","Vismutsubnitrat","Bismuth subnitrate"
"A02BX13","A02BX","Alginsyra","Alginic acid"
"A02BX14","A02BX","Rebamipid","Rebamipide"
"A02BX15","A02BX","Teprenon","Teprenone"
"A02BX16","A02BX","Irsogladin","Irsogladine"
"A02BX51","A02BX","Karbenoxolon, kombinationer exkl. psykoleptika","Carbenoxolone, combinations excl. psycholeptics"
"A02BX71","A02BX","Karbenoxolon, kombination med psykoleptika","Carbenoxolone, combinations with psycholeptics"
"A02BX77","A02BX","Gefarnat, kombination med lugnande medel","Gefarnate, combinations with psycholeptics"
"A02D","A02","Medel mot meteorism","Antiflatulents"
"A02DA","A02D","Medel mot meteorism","Antiflatulents"
"A02DA01","A02DA","Silikoner","Silicones"
"A02E","A02","Medel vid gastroesofageal reflux","Antiregurgitants"
"A02EA","A02E","Medel vid gastroesofageal reflux","Antiregurgitants"
"A02EA01","A02EA","Alginsyra","Alginic acid"
"A02X","A02","Övriga medel vid syrarelaterade sjukdomar","Other drugs for acid related disorders"
"A03","A","Medel vid funktionella mag-tarmsymtom","Drugs for functional gastrointestinal disorders"
"A03A","A03","Medel vid funktionella mag-tarmsymtom","Drugs for functional gastrointestinal disorders"
"A03AA","A03A","Syntetiska antikolinergika, estrar med tertiär aminogrupp","Synthetic anticholinergics, esters with tertiary amino group"
"A03AA01","A03AA","Oxifencyklimin","Oxyphencyclimine"
"A03AA03","A03AA","Kamylofin","Camylofin"
"A03AA04","A03AA","Mebeverin","Mebeverine"
"A03AA05","A03AA","Trimebutin","Trimebutine"
"A03AA06","A03AA","Rociverin","Rociverine"
"A03AA07","A03AA","Dicycloverin","Dicycloverine"
"A03AA08","A03AA","Dihexiverin","Dihexyverine"
"A03AA09","A03AA","Difemerin","Difemerine"
"A03AA30","A03AA","Piperidolat","Piperidolate"
"A03AB","A03A","Syntetiska antikolinergika, kvartära ammoniumföreningar","Synthetic anticholinergics, quaternary ammonium compounds"
"A03AB01","A03AB","Bensilon","Benzilone"
"A03AB02","A03AB","Glykopyrroniumbromid","Glycopyrronium bromide"
"A03AB03","A03AB","Oxyfenon","Oxyphenonium"
"A03AB04","A03AB","Pentienat","Penthienate"
"A03AB05","A03AB","Propantelin","Propantheline"
"A03AB06","A03AB","Otiloniumbromid","otilonium bromide"
"A03AB07","A03AB","Metantelin","Methantheline"
"A03AB08","A03AB","Tridihexetyl","Tridihexethyl"
"A03AB09","A03AB","Isopropon","Isopropamide"
"A03AB10","A03AB","Hexocyklium","Hexocyclium"
"A03AB11","A03AB","Poldin","Poldine"
"A03AB12","A03AB","Mepensolat","Mepenzolate"
"A03AB13","A03AB","Bevonium","Bevonium"
"A03AB14","A03AB","Pipenzolat","Pipenzolate"
"A03AB15","A03AB","Difemanil","Diphemanil"
"A03AB16","A03AB","(2-Benshydryloxietyl) dietylmetylammoniumjodid","(2-benzhydryloxyethyl)diethyl-methylammonium iodide"
"A03AB17","A03AB","Tiemoniumjodid","Tiemonium iodide"
"A03AB18","A03AB","Prifiniumbromid","Prifinium bromide"
"A03AB19","A03AB","Timepidiumbromid","Timepidium bromide"
"A03AB20","A03AB","Trospium","Trospium"
"A03AB21","A03AB","Fenpiverinium","Fenpiverinium"
"A03AB53","A03AB","Oxifenon, kombinationer","Oxyphenonium, combinations"
"A03AC","A03A","Syntetiska spasmolytika, amider med tertiär aminogrupp","Synthetic antispasmodics, amides with tertiary amines"
"A03AC02","A03AC","Dimetylaminopropionylfenotiazin","Dimethylaminopropionylphenothiazine"
"A03AC04","A03AC","Nikofetamid","Nicofetamide"
"A03AC05","A03AC","Tiropramid","Tiropramide"
"A03AD","A03A","Papaverin och derivat","Papaverine and derivatives"
"A03AD01","A03AD","Papaverin","Papaverine"
"A03AD02","A03AD","Drotaverin","Drotaverine"
"A03AD30","A03AD","Moxaverin","Moxaverine"
"A03AE","A03A","Serotoninreceptorantagonister","Serotonin receptor antagonists"
"A03AE01","A03AE","Alosetron","Alosetron"
"A03AE02","A03AE","Tegaserod","Tegaserod"
"A03AE03","A03AE","Cilansetron","Cilansetron"
"A03AE04","A03AE","Prukaloprid","Prucalopride"
"A03AX","A03A","Övriga medel vid funktionella mag-tarmsymtom","Other drugs for functional gastrointestinal disorders"
"A03AX01","A03AX","Fenpipran","Fenpiprane"
"A03AX02","A03AX","Diisopromin","Diisopromine"
"A03AX03","A03AX","Klorbensoxamin","Chlorbenzoxamine"
"A03AX04","A03AX","Pinaverin","Pinaverium"
"A03AX05","A03AX","Fenoverin","Fenoverine"
"A03AX06","A03AX","Idanpramin","Idanpramine"
"A03AX07","A03AX","Proxazol","Proxazole"
"A03AX08","A03AX","Alverin","Alverine"
"A03AX09","A03AX","Trepibuton","Trepibutone"
"A03AX10","A03AX","Isomethepten","Isometheptene"
"A03AX11","A03AX","Karoverin","Caroverine"
"A03AX12","A03AX","Floroglucinol","Phloroglucinol"
"A03AX13","A03AX","Silikoner","Silicones"
"A03AX14","A03AX","Valetamat","Valethamate"
"A03AX15","A03AX","Pepparmyntolja","Menthae piperitae aetheroleum"
"A03AX30","A03AX","Trimetyldifenylpropylamin","Trimethyldiphenylpropylamine"
"A03AX58","A03AX","Alverin, kombinationer","Alverine, combinations"
"A03B","A03","Belladonnaalkaloider och derivat","Belladonna and derivatives, plain"
"A03BA","A03B","Belladonnaalkaloider med tertiär aminogrupp","Belladonna alkaloids, tertiary amines"
"A03BA01","A03BA","Atropin","Atropine"
"A03BA03","A03BA","Hyoscyamin","Hyoscyamine"
"A03BA04","A03BA","Belladonnaalkaloider","Belladonna total alkaloids"
"A03BB","A03B","Semisyntetiska belladonnalkaloider, kvartära ammoniumföreningar","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
"A03BB01","A03BB","Butylskopolamin","Butylscopolamine"
"A03BB02","A03BB","Metylatropin","Methylatropine"
"A03BB03","A03BB","Metylskopolamin","Methylscopolamine"
"A03BB04","A03BB","Fentonin","FENTONIUM"
"A03BB05","A03BB","Cimetropiumbromid","Cimetropium bromide"
"A03BB06","A03BB","Homatropinmetylbromid","Homatropine methylbromide"
"A03C","A03","Spasmolytika i kombination med lugnande medel","Antispasmodics in combination with psycholeptics"
"A03CA","A03C","Syntetiska antikolinergika i kombination med lugnande medel","Synthetic anticholinergic agents in combination with psycholeptics"
"A03CA01","A03CA","Isopropon och lugnande medel","Isopropamide and psycholeptics"
"A03CA02","A03CA","Klidinium och lugnande medel","Clidinium and psycholeptics"
"A03CA03","A03CA","Oxifencyklimin och lugnande medel","Oxyphencyclimine and psycholeptics"
"A03CA04","A03CA","Otiloniumbromid och lugnande medel","Otilonium bromide and psycholeptics"
"A03CA05","A03CA","Glykopyrroniumbromid och lugnande medel","Glycopyrronium bromide and psycholeptics"
"A03CA06","A03CA","Bevonium och lugnande medel","Bevonium and psycholeptics"
"A03CA07","A03CA","Ambutonium och lugnande medel","Ambutonium and psycholeptics"
"A03CA08","A03CA","Difemanil och lugnande medel","Diphemanil and psycholeptics"
"A03CA09","A03CA","Pipenzolat och lugnande medel","Pipenzolate and psycholeptics"
"A03CA30","A03CA","Emepronium och lugnande medel","Emepronium and psycholeptics"
"A03CA34","A03CA","Propantelin och lugnande medel","Propantheline and psycholeptics"
"A03CB","A03C","Belladonnaalkaloider och derivat i kombination med lugnande medel","Belladonna and derivatives in combination with psycholeptics"
"A03CB01","A03CB","Metylskopolamin och lugnande medel","Methylscopolamine and psycholeptics"
"A03CB02","A03CB","Belladonnaalkaloider och lugnande medel","Belladonna total alkaloids and psycholeptics"
"A03CB03","A03CB","Atropin och lugnande medel","Atropine and psycholeptics"
"A03CB04","A03CB","Homatropinmetylbromid och lugnande medel","Homatropine methylbromide and psycholeptics"
"A03CB31","A03CB","Hyoscyamin och lugnande medel","Hyoscyamine and psycholeptics"
"A03CC","A03C","Övriga kombinationer med lugnande medel","Other antispasmodics in combination with psycholeptics"
"A03D","A03","Spasmolytika i kombination med analgetika","Antispasmodics in combination with analgesics"
"A03DA","A03D","Syntetiska antikolinergika i kombination med analgetika","Synthetic anticholinergic agents in combination with analgesics"
"A03DA01","A03DA","Tropenzilon och analgetika","Tropenzilone and analgesics"
"A03DA02","A03DA","Pitofenon och analgetika","Pitofenone and analgesics"
"A03DA03","A03DA","Bevonium och analgetika","Bevonium and analgesics"
"A03DA04","A03DA","Ciklonium och analgetika","Ciclonium and analgesics"
"A03DA05","A03DA","Kamylofin och analgetika","Camylofin and analgesics"
"A03DA06","A03DA","Trospium och analgetika","Trospium and analgesics"
"A03DA07","A03DA","Tiemoniumjodid och analgetika","Tiemonium iodide and analgesics"
"A03DB","A03D","Belladonnaalkaloider och derivat i kombination med analgetika","Belladonna and derivatives in combination with analgesics"
"A03DB04","A03DB","Butylskopolamin och analgetika","Butylscopolamine and analgesics"
"A03DC","A03D","Övriga kombinationer med analgetika","Other antispasmodics in combination with analgesics"
"A03E","A03","Övriga kombinationer","Antispasmodics and anticholinergics in combination with other drugs"
"A03EA","A03E","Spasmolytika, lugnande medel och analgetika i kombination","Antispasmodics, psycholeptics and analgesics in combination"
"A03ED","A03E","Spasmolytika i kombination med andra medel","Antispasmodics in combination with other drugs"
"A03F","A03","Motilitetsstimulerande medel","Propulsives"
"A03FA","A03F","Motilitetsstimulerande medel","Propulsives"
"A03FA01","A03FA","Metoklopramid","Metoclopramide"
"A03FA02","A03FA","Cisaprid","Cisapride"
"A03FA03","A03FA","Domperidon","Domperidone"
"A03FA04","A03FA","Bromoprid","Bromopride"
"A03FA05","A03FA","Alizaprid","Alizapride"
"A03FA06","A03FA","Kleboprid","Clebopride"
"A03FA07","A03FA","Itroprid","Itropride"
"A03FA08","A03FA","Cinitaprid","Cinitapride"
"A03FA09","A03FA","Mosaprid","Mosapride"
"A03FA10","A03FA","Akotiamid","Acotiamide"
"A04","A","Antiemetika","Antiemetics and antinauseants"
"A04A","A04","Antiemetika","Antiemetics and antinauseants"
"A04AA","A04A","Serotonin (5HT3) receptorantagonister","Serotonin (5HT3) antagonists"
"A04AA01","A04AA","Ondansetron","Ondansetron"
"A04AA02","A04AA","Granisetron","Granisetron"
"A04AA03","A04AA","Tropisetron","Tropisetron"
"A04AA04","A04AA","Dolasetron","Dolasetron"
"A04AA05","A04AA","Palonosetron","Palonosetron"
"A04AA55","A04AA","Palonosetron, kombinationer","Palonosetron, combinations"
"A04AD","A04A","Övriga antiemetika","Other antiemetics"
"A04AD01","A04AD","Skopolamin","Scopolamine"
"A04AD02","A04AD","Ceriumoxalat","Cerium oxalate"
"A04AD04","A04AD","Klorbutanol","Chlorobutanol"
"A04AD05","A04AD","Metopimazin","Metopimazine"
"A04AD08","A04AD","Ondansetron","Ondansetron"
"A04AD10","A04AD","Dronabinol","Dronabinol"
"A04AD11","A04AD","Nabilon","Nabilone"
"A04AD12","A04AD","Aprepitant","Aprepitant"
"A04AD13","A04AD","Kasopitant","Casopitant"
"A04AD14","A04AD","Rolapitant","Rolapitant"
"A04AD51","A04AD","Skopolamin, kombinationer","Scopolamine, combinations"
"A04AD54","A04AD","Klorbutanol, kombinationer","Chlorobutanol, combinations"
"A05","A","Gall- och leverterapi","Bile and liver therapy"
"A05A","A05","Gallterapi","Bile therapy"
"A05AA","A05A","Gallsyror och derivat","Bile acids and derivatives"
"A05AA01","A05AA","Kenodeoxicholsyra","Chenodeoxycholic acid"
"A05AA02","A05AA","Ursodeoxicholsyra","Ursodeoxycholic acid"
"A05AA03","A05AA","Cholsyra","Cholic acid"
"A05AA04","A05AA","Obeticholsyra","Obeticholic acid"
"A05AA05","A05AA","Ursodoxikoltaurin","Ursodoxicoltaurine"
"A05AB","A05A","Medel för behandling av sjukdomar i gallvägarna","Preparations for biliary tract therapy"
"A05AB01","A05AB","Nikotinylmetylamid","Nicotinyl methylamide"
"A05AX","A05A","Övriga medel vid gallterapi","Other drugs for bile therapy"
"A05AX01","A05AX","Piprozolin","Piprozolin"
"A05AX02","A05AX","Hymekromon","Hymecromone"
"A05AX03","A05AX","Cyklobutyrol","Cyclobutyrol"
"A05AX04","A05AX","Maralixibatklorid","Maralixibat chloride"
"A05AX05","A05AX","Odevixibat","Odevixibat"
"A05AX06","A05AX","Elafibranor","Elafibranor"
"A05AX07","A05AX","Seladelpar","Seladelpar"
"A05B","A05","Leverterapi, lipotroper","Liver therapy, lipotropics"
"A05BA","A05B","Leverterapi","Liver therapy"
"A05BA01","A05BA","Argininglutamat","Arginine glutamate"
"A05BA02","A05BA","Tioctic syra","Tioctic acid"
"A05BA03","A05BA","Silymarin","Silymarin"
"A05BA04","A05BA","Citiolon","Citiolone"
"A05BA05","A05BA","Epomediol","Epomediol"
"A05BA06","A05BA","Ornitinoxoglurat","Ornithine oxoglurate"
"A05BA07","A05BA","Tidiacikarginin","Tidiacic arginine"
"A05BA08","A05BA","Glycyrrhizinsyra","Glycyrrhizic acid"
"A05BA09","A05BA","Metadoxin","Metadoxine"
"A05BA10","A05BA","Fosfolipider","Phospholipids"
"A05C","A05","Medel för gallterapi och lipotropa medel, kombinationer","Drugs for bile therapy and lipotropics in combination"
"A06","A","Medel vid förstoppning","Drugs for constipation"
"A06A","A06","Medel vid förstoppning","Drugs for constipation"
"A06AA","A06A","Mjukgörare, emulgeringsmedel","Softeners, emollients"
"A06AA01","A06AA","Flytande paraffin","Liquid paraffin"
"A06AA02","A06AA","Dokusatnatrium","Docusate sodium"
"A06AA51","A06AA","Flytande paraffin, kombinationer","Liquid paraffin, combinations"
"A06AB","A06A","Tarmirriterande medel","Contact laxatives"
"A06AB01","A06AB","Oxifenisatin","Oxyphenisatine"
"A06AB02","A06AB","Bisakodyl","Bisacodyl"
"A06AB03","A06AB","Dantron","Dantron"
"A06AB04","A06AB","Fenolftalein","Phenolphthalein"
"A06AB05","A06AB","Ricinolja","Castor oil"
"A06AB06","A06AB","Sennaglykosider","Senna glycosides"
"A06AB07","A06AB","Sagrada, bark","Cascara"
"A06AB08","A06AB","Natriumpikosulfat","Sodium picosulfate"
"A06AB09","A06AB","Bisoxatin","Bisoxatin"
"A06AB20","A06AB","Kombinationer av tarmirriterande medel","Contact laxatives in combination"
"A06AB30","A06AB","Tarmirriterande medel i kombination med belladonnaalkaloider","Contact laxatives in combination with belladonna alkaloids"
"A06AB52","A06AB","Bisakodyl, kombinationer","Bisacodyl, combinations"
"A06AB53","A06AB","Dantron, kombinationer","Dantron, combinations"
"A06AB56","A06AB","Sennaglykosider, kombinationer","Senna glycosides, combinations"
"A06AB57","A06AB","Sagrada, bark med kombinationer","Cascara, combinations"
"A06AB58","A06AB","Natriumpikosulfat, kombinationer","Sodium picosulfate, combinations"
"A06AC","A06A","Bulkbildande laxermedel","Bulk-forming laxatives"
"A06AC01","A06AC","Loppfrö och vitt loppfrö","Ispaghula (psylla seeds)"
"A06AC02","A06AC","Etulos","Ethulose"
"A06AC03","A06AC","Sterkuliagummi","Sterculia"
"A06AC05","A06AC","Linfrö","Linseed"
"A06AC06","A06AC","Metylcellulosa","Methylcellulose"
"A06AC07","A06AC","Kostfiber av vetefröskal","Triticum (wheat fibre)"
"A06AC08","A06AC","Polykarbofilkalcium","Polycarbophil calcium"
"A06AC51","A06AC","Loppfrö och vitt loppfrö, kombinationer","Ispaghula, combinations"
"A06AC53","A06AC","Sterkuliagummi, kombinationer","Sterculia, combinations"
"A06AC55","A06AC","Linfrö, kombinationer","Linseed, combinations"
"A06AD","A06A","Osmotiskt aktiva laxermedel","Osmotically acting laxatives"
"A06AD01","A06AD","Magnesiumkarbonat","Magnesium carbonate"
"A06AD02","A06AD","Magnesiumoxid","Magnesium oxide"
"A06AD03","A06AD","Magnesiumperoxid","Magnesium peroxide"
"A06AD04","A06AD","Magnesiumsulfat","Magnesium sulfate"
"A06AD10","A06AD","Mineralsalter i kombination","Mineral salts in combination"
"A06AD11","A06AD","Laktulos","Lactulose"
"A06AD12","A06AD","Laktitol","Lactitol"
"A06AD13","A06AD","Natriumsulfat","Sodium sulfate"
"A06AD14","A06AD","Pentaeritrityl","Pentaerithrityl"
"A06AD15","A06AD","Makrogol","Macrogol"
"A06AD16","A06AD","Mannitol","Mannitol"
"A06AD17","A06AD","Natriumfosfat","Sodium phosphate"
"A06AD18","A06AD","Sorbitol","Sorbitol"
"A06AD19","A06AD","Magnesiumcitrat","Magnesium citrate"
"A06AD21","A06AD","Natriumtartrat","Sodium tartrate"
"A06AD61","A06AD","Laktulos, kombinationer","Lactulose, combinations"
"A06AD65","A06AD","Makrogol, kombinationer","Macrogol, combinations"
"A06AG","A06A","Klysma","Enemas"
"A06AG01","A06AG","Natriumfosfat","Sodium phosphate"
"A06AG02","A06AG","Bisakodyl","Bisacodyl"
"A06AG03","A06AG","Dantron, inkl. kombinationer","Dantron, incl. combinations"
"A06AG04","A06AG","Glycerol","Glycerol"
"A06AG06","A06AG","Olja","Oil"
"A06AG07","A06AG","Sorbitol","Sorbitol"
"A06AG10","A06AG","Dokusatnatrium, inkl. kombinationer","Docusate sodium, incl. combinations"
"A06AG11","A06AG","Natriumlaurylsulfoacetat, inkl. kombinationer","Sodium lauryl sulfoacetate, incl. combinations"
"A06AG20","A06AG","Kombinationer","Combinations"
"A06AH","A06A","Perifera opioidreceptorantagonister","Peripheral opioid receptor antagonists"
"A06AH01","A06AH","Metylnaltrexonbromid","Methylnaltrexone bromide"
"A06AH02","A06AH","Alvimopan","Alvimopan"
"A06AH03","A06AH","Naloxegol","Naloxegol"
"A06AH04","A06AH","Naloxon","Naloxone"
"A06AH05","A06AH","Naldemedin","Naldemedine"
"A06AX","A06A","Övriga medel vid förstoppning","Other drugs for constipation"
